# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Failed Nodes
# actix-rust
1500,88,9.650,13.199,10.650,21.407,46.710,83.224,93.900,103.630,0/0
1500,148,11.463,11.707,11.750,11.885,84.140,85.430,85.110,87.230,0/1
2500,17,7.715,11.634,12.444,13.143,76.090,89.384,80.360,129.620,0/2
2500,53,8.489,11.219,12.307,12.498,80.010,91.134,81.250,117.800,0/2
2500,88,9.551,13.834,12.331,24.673,40.530,80.966,81.100,104.700,0/4


# vertx-kotlin
100,444,6.556,15.317,15.776,20.990,47.640,77.200,63.390,152.530,0/0
100,1333,12.546,34.233,33.997,47.324,21.130,36.822,29.410,79.710,0/0
100,2222,18.410,51.008,47.203,73.691,13.570,25.240,21.180,54.320,0/0
500,88,3.832,7.537,8.415,8.855,112.930,146.980,118.840,260.930,0/0
500,266,12.039,13.005,12.450,14.241,70.220,77.300,80.320,83.060,0/0
500,444,15.612,17.029,16.264,18.795,53.210,59.078,61.490,64.050,0/0
1000,44,5.455,5.894,5.949,6.295,158.850,170.286,168.080,183.330,0/0
1000,133,7.743,8.128,7.899,8.764,114.100,123.306,126.590,129.160,0/0
1000,222,9.419,10.249,10.280,10.934,91.450,97.800,97.270,106.170,0/0
1500,29,4.255,4.742,4.388,5.392,185.460,213.118,227.890,235.030,0/0
1500,88,4.368,5.978,6.372,6.914,144.630,172.292,156.950,228.920,0/0
1500,148,7.898,8.235,8.170,8.499,117.660,121.514,122.390,126.610,0/0
2500,17,3.842,4.300,4.411,4.443,225.050,233.302,226.730,260.300,0/0
2500,53,5.292,5.524,5.317,6.382,156.700,182.026,188.080,188.950,0/0
2500,88,5.802,6.666,5.910,9.417,106.190,155.186,169.200,172.350,0/0


# phoenix_elixir
100,444,6.425,11.265,10.712,14.432,69.290,96.850,93.350,155.640,0/0
100,1333,28.394,35.961,35.759,40.187,24.880,28.258,27.970,35.220,0/0
100,2222,57.893,60.452,58.574,63.788,15.680,16.574,17.070,17.270,0/0
500,88,2.403,4.590,5.634,6.163,162.260,258.536,177.490,416.170,0/0
500,266,10.405,11.030,10.779,11.612,86.120,90.838,92.770,96.110,0/0
500,444,3.773,14.367,16.606,20.353,49.130,100.870,60.220,265.060,0/0
1000,44,6.597,7.086,7.256,7.322,136.580,141.352,137.820,151.580,0/0
1000,133,8.471,9.035,9.014,9.626,103.890,110.940,110.940,118.050,0/1
1000,222,8.602,10.030,9.855,12.594,79.400,101.352,101.470,116.250,0/2
1500,29,4.932,5.507,5.076,6.494,153.990,183.966,197.010,202.750,0/1
1500,88,5.689,6.807,7.007,7.307,136.850,148.088,142.710,175.770,0/1
1500,148,7.252,8.851,9.186,9.419,106.170,114.074,108.860,137.890,0/2
2500,17,4.113,4.536,4.402,4.948,202.100,221.584,227.140,243.130,0/0
2500,53,5.161,5.999,5.630,8.057,124.120,171.070,177.630,193.770,0/1
2500,88,5.939,7.134,6.348,8.553,116.920,143.680,157.520,168.380,0/2


# trot_elixir
100,444,4.512,9.878,7.618,15.572,64.220,125.500,131.260,221.640,0/0
100,1333,21.303,27.345,26.884,33.622,29.740,38.114,37.200,46.940,0/0
100,2222,42.004,51.155,53.274,53.646,18.640,19.730,18.770,23.810,0/0
500,88,1.280,3.044,3.386,4.470,223.700,420.856,295.340,781.320,0/0
500,266,1.727,7.040,7.329,10.991,90.980,215.152,136.450,579.120,0/0
500,444,2.751,9.686,10.568,16.974,58.920,148.800,94.630,363.520,0/0
1000,44,1.072,2.634,2.819,3.538,282.650,457.646,354.680,932.910,0/0
1000,133,4.942,6.259,6.597,7.227,138.370,163.442,151.570,202.350,0/0
1000,222,8.702,8.889,8.831,9.095,109.950,112.542,113.240,114.920,0/0
1500,29,3.428,3.485,3.488,3.565,280.520,286.986,286.730,291.700,0/0
1500,88,5.225,5.520,5.390,6.135,162.990,181.766,185.540,191.390,0/0
1500,148,5.638,6.895,6.452,8.230,121.510,148.568,154.990,177.370,0/2
2500,17,3.284,3.527,3.515,3.782,264.410,284.496,284.510,304.500,0/0
2500,53,3.792,4.145,4.069,4.580,218.350,242.714,245.750,263.710,0/1
2500,88,4.754,5.194,5.201,5.838,171.280,193.448,192.260,210.340,0/0


# flask+uwsgi-python3
100,444,2.279,11.454,5.106,23.156,43.190,197.958,195.860,438.770,0/0
100,1333,4.051,13.861,16.350,17.522,57.070,98.790,61.160,246.860,0/0
100,2222,5.499,18.338,19.817,23.669,42.250,73.760,50.460,181.840,0/0
500,88,3.968,5.095,5.737,5.765,173.460,201.746,174.300,252.030,0/0
500,266,8.228,9.056,9.145,9.408,106.290,110.694,109.350,121.540,0/0
500,444,8.097,9.077,9.267,9.946,100.540,110.910,107.920,123.510,0/0
1000,44,8.265,8.668,8.795,8.936,111.910,115.482,113.700,120.990,0/0
1000,133,8.723,9.078,8.994,9.362,106.810,110.228,111.180,114.640,0/0
1000,222,10.708,12.939,13.494,13.536,73.880,77.956,74.110,93.390,0/0
1500,29,5.870,9.957,7.079,19.416,51.500,120.946,141.270,170.350,0/0
1500,88,24.041,26.691,27.337,27.416,36.480,37.568,36.580,41.600,0/0
1500,148,26.362,39.190,42.391,42.410,23.580,26.456,23.590,37.930,0/0
2500,17,27.023,27.048,27.026,27.103,36.900,36.972,37.000,37.010,0/0
2500,53,26.540,27.028,27.096,27.328,36.590,37.002,36.910,37.680,0/0
2500,88,26.806,28.304,26.829,31.244,32.010,35.480,37.270,37.300,0/0


# tornado-python3
100,444,3.244,11.524,11.150,16.590,60.280,122.932,89.680,308.270,0/0
100,1333,6.494,16.177,14.228,25.006,39.990,78.438,70.290,153.990,0/0
100,2222,7.606,24.141,25.648,34.481,29.000,55.376,38.990,131.470,0/0
500,88,3.011,9.248,9.080,17.146,58.320,151.444,110.130,332.160,0/0
500,266,9.461,11.564,10.233,17.866,55.970,91.376,97.720,105.690,0/0
500,444,10.214,13.150,12.578,17.932,55.770,78.614,79.500,97.910,0/0
1000,44,5.431,13.346,11.505,19.386,51.580,92.948,86.920,184.120,0/1
1000,133,6.761,14.700,11.513,34.266,29.180,91.340,86.860,147.920,0/2
1000,222,10.263,13.497,15.087,16.364,61.110,77.002,66.280,97.440,0/1
1500,29,10.583,12.484,13.238,13.737,72.790,80.978,75.540,94.490,0/1
1500,88,7.637,11.204,11.137,13.315,75.100,92.892,89.790,130.940,0/2
1500,148,11.184,15.917,16.954,19.096,52.370,65.626,58.980,89.410,0/2
2500,17,12.118,13.532,13.566,14.876,67.220,74.475,74.080,82.520,1/4
2500,53,13.279,23.291,26.366,36.472,27.420,50.270,37.930,75.310,0/5
2500,88,12.728,19.875,20.477,25.820,38.730,54.357,50.065,78.570,1/3


# cowboy-erlang
100,444,9.664,15.021,16.523,19.606,51.000,73.310,60.520,103.480,0/0
100,1333,47.714,60.483,56.598,70.934,14.100,16.922,17.670,20.960,0/5
100,2222,126.301,139.037,141.973,145.062,6.890,7.208,7.040,7.920,0/0
500,88,4.704,5.703,5.046,8.797,113.670,185.290,198.170,212.590,0/0
500,266,10.004,11.671,12.008,12.335,81.070,86.186,83.280,99.960,0/0
500,444,13.026,21.832,20.292,37.213,26.870,52.062,49.280,76.770,0/1
1000,44,3.593,4.524,4.560,5.365,186.380,226.272,219.290,278.330,0/0
1000,133,6.160,7.271,7.319,8.356,119.670,140.082,136.630,162.330,0/1
1000,222,11.972,14.270,15.085,15.442,64.760,70.756,66.290,83.530,0/1
1500,29,4.751,5.531,5.592,6.128,163.190,182.020,178.820,210.490,0/3
1500,88,6.466,7.138,6.679,8.116,123.210,141.476,149.720,154.640,0/0
1500,148,6.563,9.100,8.704,11.758,85.050,115.032,114.890,152.370,0/0
2500,17,4.891,6.895,7.148,8.393,119.150,152.817,143.840,204.440,1/1
2500,53,4.938,6.388,6.422,7.458,134.080,160.256,155.720,202.520,0/3
2500,88,5.283,6.105,6.329,6.589,151.760,164.830,158.000,189.290,0/2


