# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Serviced Requests
# actix-rust
1000,44,0.802,1.904,1.229,88.104,11.350,525.323,813.670,1246.883,5000
1000,133,2.179,4.142,2.704,66.743,14.983,241.407,369.822,458.926,5000
1000,222,3.650,5.815,4.272,44.850,22.297,171.962,234.055,273.973,5000
1500,29,0.585,1.478,0.881,56.900,17.575,676.440,1134.430,1709.402,7500
1500,88,1.489,2.731,1.828,57.546,17.377,366.218,547.046,671.592,7500
1500,148,2.397,4.247,2.767,51.360,19.470,235.463,361.402,417.188,7500
2500,17,0.390,0.925,0.639,73.741,13.561,1080.596,1564.945,2564.103,12500
2500,53,0.954,1.849,1.230,113.419,8.817,540.820,813.008,1048.218,12500
2500,88,1.500,2.463,1.807,101.321,9.870,406.005,553.403,666.667,12500


# phoenix_elixir
100,444,7.513,74.504,43.398,268.049,3.731,13.422,23.042,133.103,500
100,1333,22.444,154.847,70.751,783.300,1.277,6.458,14.134,44.555,500
100,2222,37.228,1515.612,1286.543,4621.981,0.216,0.660,0.777,26.862,500
500,88,1.532,12.507,3.808,100.087,9.991,79.958,262.571,652.742,2500
500,266,4.499,86.041,19.175,501.333,1.995,11.622,52.150,222.272,2500
500,444,7.427,144.753,41.167,789.759,1.266,6.908,24.291,134.644,2500
1000,44,0.795,10.186,1.056,104.001,9.615,98.171,946.970,1257.862,5000
1000,133,2.318,25.498,6.008,215.742,4.635,39.218,166.445,431.406,5000
1000,222,3.758,13.030,9.526,103.035,9.705,76.745,104.970,266.099,5000
1500,29,0.555,11.947,5.838,188.895,5.294,83.703,171.306,1801.802,7500
1500,88,1.535,27.283,7.015,196.402,5.092,36.653,142.542,651.466,7500
1500,148,2.570,40.900,6.969,300.003,3.333,24.450,143.493,389.105,7500
2500,17,0.341,4.433,1.344,77.684,12.873,225.596,744.048,2932.551,12500
2500,53,0.958,3.825,1.807,47.636,20.993,261.428,553.403,1043.841,12500
2500,88,1.530,21.683,3.556,346.620,2.885,46.118,281.215,653.595,12500


# trot_elixir
100,444,7.919,61.168,48.050,234.532,4.264,16.348,20.811,126.279,500
100,1333,22.889,360.668,257.875,1262.895,0.792,2.773,3.878,43.689,500
100,2222,38.793,964.793,468.342,3925.185,0.255,1.036,2.135,25.778,500
500,88,1.550,5.379,1.921,80.135,12.479,185.894,520.427,645.161,2500
500,266,4.629,86.810,13.136,630.898,1.585,11.519,76.124,216.029,2500
500,444,7.827,62.391,17.512,385.979,2.591,16.028,57.104,127.763,2500
1000,44,0.803,0.986,0.915,12.399,80.652,1014.323,1092.896,1245.330,5000
1000,133,2.351,10.029,2.795,168.799,5.924,99.708,357.782,425.351,5000
