# Num Reqs, Num Nums, Min Time/Req (ms), Mean Time/Req (ms), Median Time/Req (ms), Max Time/Req (ms), Min Requests/Sec, Mean Requests/Sec, Median Requests/Sec, Max Requests/Sec, Num Serviced Requests
# actix-rust
1500,88,1.419,4.170,1.865,494.572,2.022,239.827,536.049,704.722,7500
1500,148,2.374,7.718,2.956,561.323,1.782,129.560,338.295,421.230,7500
2500,17,0.344,1.444,0.579,1182.795,0.845,692.674,1727.116,2906.977,12500
2500,53,0.890,2.506,1.177,772.646,1.294,399.120,849.618,1123.596,12500
2500,88,1.404,4.463,1.751,1033.171,0.968,224.079,571.102,712.251,12500


# vertx-kotlin
100,444,7.716,15.924,9.817,87.605,11.415,62.799,101.864,129.601,500
100,1333,21.791,40.274,36.642,105.578,9.472,24.830,27.291,45.891,500
100,2222,36.618,66.847,57.478,158.429,6.312,14.960,17.398,27.309,500
500,88,1.542,3.952,2.391,53.401,18.726,253.061,418.235,648.508,2500
500,266,4.497,9.214,5.545,56.706,17.635,108.526,180.343,222.370,2500
500,444,7.086,13.948,8.535,68.951,14.503,71.692,117.165,141.123,2500
1000,44,0.827,2.382,1.230,52.181,19.164,419.819,813.008,1209.190,5000
1000,133,2.227,4.620,2.849,78.796,12.691,216.428,350.939,449.035,5000
1000,222,3.586,7.297,4.352,173.819,5.753,137.035,229.779,278.862,5000
1500,29,0.596,1.879,0.938,269.166,3.715,532.072,1066.667,1677.852,7500
1500,88,1.504,3.353,1.959,287.695,3.476,298.247,510.465,664.894,7500
1500,148,2.433,4.885,2.886,294.431,3.396,204.710,346.500,411.015,7500
2500,17,0.400,1.406,0.697,370.548,2.699,711.091,1434.720,2500.000,12500
2500,53,0.942,2.405,1.276,386.923,2.584,415.843,783.699,1061.571,12500
2500,88,1.492,3.223,1.848,420.163,2.380,310.295,541.126,670.241,12500


# phoenix_elixir
100,444,7.465,226.637,164.237,729.970,1.370,4.412,6.089,133.958,500
100,1333,22.631,404.471,243.363,1794.560,0.557,2.472,4.109,44.187,500
100,2222,39.092,2794.908,2821.534,5902.692,0.169,0.358,0.354,25.581,500
500,88,1.574,19.004,3.857,138.516,7.219,52.622,259.235,635.324,2500
500,266,4.536,52.263,19.198,398.602,2.509,19.134,52.087,220.459,2500
500,444,7.424,135.372,53.965,842.440,1.187,7.387,18.531,134.698,2499
1000,44,0.800,5.880,1.731,69.294,14.431,170.062,577.701,1250.000,4992
1000,133,2.343,20.682,5.279,241.935,4.133,48.351,189.430,426.803,4959
1000,222,3.772,38.839,18.444,374.899,2.667,25.747,54.218,265.111,4886
1500,29,0.577,4.362,1.126,65.076,15.367,229.268,888.099,1733.102,7437
1500,88,1.554,11.948,2.929,116.599,8.576,83.694,341.355,643.501,7370
1500,148,2.583,18.483,6.218,204.728,4.885,54.103,160.823,387.147,7170
2500,17,0.352,3.640,0.845,127.661,7.833,274.748,1183.432,2840.909,12359
2500,53,0.963,7.059,1.815,167.463,5.971,141.661,551.116,1038.422,11992
2500,88,1.555,13.229,3.104,208.590,4.794,75.592,322.113,643.087,11672


# trot_elixir
100,444,8.053,40.634,22.159,234.773,4.259,24.610,45.129,124.177,500
100,1333,23.634,577.254,583.423,1433.005,0.698,1.732,1.714,42.312,500
100,2222,39.312,1308.794,1317.285,3489.373,0.287,0.764,0.759,25.438,500
500,88,1.640,5.404,2.123,90.343,11.069,185.053,471.143,609.756,2500
500,266,4.813,34.124,13.807,221.723,4.510,29.305,72.427,207.771,2500
500,444,7.940,71.266,24.030,505.564,1.978,14.032,41.614,125.945,2500
1000,44,0.823,1.080,0.899,24.102,41.490,925.731,1112.347,1215.067,5000
1000,133,2.433,15.365,4.032,227.063,4.404,65.083,248.016,411.015,4998
1000,222,4.030,21.729,6.154,278.945,3.585,46.021,162.496,248.139,4997
1500,29,0.548,0.704,0.599,20.710,48.286,1420.763,1669.449,1824.818,7500
1500,88,1.640,7.222,2.505,91.714,10.903,138.460,399.202,609.756,7500
1500,148,2.694,16.653,4.238,270.708,3.694,60.048,235.988,371.195,7454
2500,17,0.341,0.474,0.384,42.209,23.692,2107.962,2604.167,2932.551,12474
2500,53,0.970,1.247,1.048,80.330,12.449,802.053,954.198,1030.928,12368
2500,88,1.643,6.264,2.475,157.373,6.354,159.632,404.040,608.643,12310


# flask+uwsgi-python3
100,444,2.994,3.962,3.179,13.851,72.197,252.415,314.515,334.001,500
100,1333,8.140,9.674,8.579,58.591,17.067,103.371,116.557,122.850,500
100,2222,13.267,15.050,13.560,65.830,15.191,66.445,73.746,75.375,500
500,88,0.892,1.292,1.095,15.313,65.304,774.241,913.242,1121.076,2500
500,266,1.912,2.603,2.162,75.761,13.199,384.105,462.428,523.013,2500
500,444,2.927,3.719,3.224,49.685,20.127,268.923,310.174,341.647,2500
1000,44,0.643,1.041,0.831,21.238,47.085,960.688,1203.369,1555.210,5000
1000,133,1.145,1.517,1.319,22.108,45.232,659.148,758.150,873.362,5000
1000,222,1.638,2.319,1.855,42.512,23.523,431.219,539.084,610.501,5000
1500,29,0.557,0.879,0.743,26.384,37.902,1137.606,1345.895,1795.332,7500
1500,88,0.871,1.295,1.069,38.295,26.113,772.184,935.454,1148.106,7491
1500,148,1.223,1.695,1.414,31.626,31.620,590.139,707.214,817.661,7432
2500,17,0.471,0.833,0.659,27.371,36.535,1200.900,1517.451,2123.142,11348
2500,53,0.675,1.038,0.879,51.455,19.434,963.310,1137.656,1481.481,11973
2500,88,0.884,1.287,1.091,41.740,23.958,777.188,916.590,1131.222,11634


# tornado-python3
100,444,2.642,2.891,2.772,5.793,172.622,345.925,360.685,378.501,500
100,1333,7.683,8.187,8.003,11.478,87.123,122.138,124.953,130.157,500
100,2222,12.569,13.653,13.176,38.618,25.895,73.246,75.896,79.561,500
500,88,0.682,0.862,0.818,11.733,85.230,1160.472,1222.494,1466.276,2500
500,266,1.713,2.020,1.934,5.519,181.192,495.001,517.063,583.771,2500
500,444,2.706,3.206,3.022,23.382,42.768,311.928,330.907,369.549,2500
1000,44,0.423,0.572,0.531,4.238,235.960,1747.209,1883.239,2364.066,5000
1000,133,0.919,1.179,1.101,11.322,88.324,848.397,908.265,1088.139,5000
1000,222,1.438,1.775,1.659,83.904,11.918,563.275,602.773,695.410,5000
1500,29,0.338,0.488,0.449,12.541,79.738,2050.087,2227.171,2958.580,7500
1500,88,0.684,0.908,0.847,10.956,91.274,1100.779,1180.638,1461.988,7500
1500,148,0.988,1.290,1.202,11.398,87.735,775.266,831.947,1012.146,7500
2500,17,0.272,0.412,0.374,33.693,29.680,2429.753,2673.797,3676.471,12000
2500,53,0.485,0.673,0.609,92.024,10.867,1485.335,1642.036,2061.856,12500
2500,88,0.664,0.914,0.845,10.999,90.917,1093.717,1183.432,1506.024,12306


# cowboy-erlang
100,444,12.730,169.125,101.273,592.680,1.687,5.913,9.874,78.555,500
100,1333,51.090,1907.726,1868.891,5373.655,0.186,0.524,0.535,19.573,500
100,2222,102.628,7590.777,7676.233,12755.353,0.078,0.132,0.130,9.744,500
500,88,2.134,11.936,6.410,79.950,12.508,83.781,156.006,468.604,2500
500,266,6.958,86.598,39.440,621.050,1.610,11.548,25.355,143.719,2500
500,444,12.492,183.556,99.723,1133.494,0.882,5.448,10.028,80.051,2500
1000,44,1.074,4.412,2.473,77.614,12.884,226.657,404.367,931.099,5000
1000,133,3.248,22.506,9.054,215.388,4.643,44.432,110.448,307.882,4947
1000,222,5.746,55.180,20.588,447.320,2.236,18.122,48.572,174.034,4735
1500,29,0.715,0.997,0.860,110.263,9.069,1003.485,1162.791,1398.601,7420
1500,88,2.109,12.715,4.485,205.665,4.862,78.647,222.965,474.158,7218
1500,148,3.673,33.227,14.006,413.697,2.417,30.096,71.398,272.257,7233
2500,17,0.451,0.661,0.549,26.611,37.578,1513.550,1821.494,2217.295,11519
2500,53,1.291,4.854,2.934,61.843,16.170,206.025,340.832,774.593,11655
2500,88,2.060,9.966,4.106,104.935,9.530,100.340,243.546,485.437,12027


