# Service Impl,Client Impl, Num Reqs, Num Nums, Min Time/Succ Req (ms), Median Time/Succ Req (ms), Max Time/Succ Req (ms), Min Time/Fail Req (ms), Median Time/Fail Req (ms), Max Time/Fail Req (ms), Min Time/Req (ms),  Median Time/Req (ms), Max Time/Req (ms)

go-server,vertx-kotlin,500,88,917.867,1565.096,2148.599,0.000,0.000,0.000,917.867,1565.096,2148.599
go-server,vertx-kotlin,500,266,902.528,1588.961,2210.228,0.000,0.000,0.000,902.528,1588.961,2210.228
go-server,vertx-kotlin,500,444,918.516,1654.080,2308.447,0.000,0.000,0.000,918.516,1654.080,2308.447
go-server,vertx-kotlin,1000,44,932.297,2026.776,2898.168,0.000,0.000,0.000,932.297,2026.776,2898.168
go-server,vertx-kotlin,1000,133,944.891,2125.235,3075.915,0.000,0.000,0.000,944.891,2125.235,3075.915
go-server,vertx-kotlin,1000,222,948.986,2214.983,3288.793,0.000,0.000,0.000,948.986,2214.983,3288.793
go-server,vertx-kotlin,1500,29,971.630,2489.851,3488.365,0.000,0.000,0.000,971.630,2489.851,3488.365
go-server,vertx-kotlin,1500,88,974.248,2544.140,3664.890,0.000,0.000,0.000,974.248,2544.140,3664.890
go-server,vertx-kotlin,1500,148,975.668,2649.919,3950.179,0.000,0.000,0.000,975.668,2649.919,3950.179
go-server,vertx-kotlin,2500,17,1025.287,3172.405,4301.625,0.000,0.000,0.000,1025.287,3172.405,4301.625
go-server,vertx-kotlin,2500,53,1040.983,3269.032,4389.237,0.000,0.000,0.000,1040.983,3269.032,4389.237
go-server,vertx-kotlin,2500,88,1040.319,3281.218,4545.423,0.000,0.000,0.000,1040.319,3281.218,4545.423


